From,To,Weight
Slack,No Response,1
Airbnb,No Response,1
Allstate,Received,1
LiveRamp,Received Coding interview,1
Received Coding interview,Phones creen,1
Phones creen,Denied,1
Gap,No Response,1
Asana,No Response,1
LendingHome,Coding Challenge,1
Coding Challenge,Denied,1
Meraki,No Response,1
Dropbox,No Response,1
NerdWallet,No Response,1
Plato,No Response,1
Twitter,Coding Challenge,1
Coding Challenge,No Response,1
Splunk,No Response,1
Facebook,No Response,1
Square,No Response,1
3M,No Response,1
AppLovin,No Response,1
Goldman,No Response,1
No Response,Coding Challenge,1
Coding Challenge,Denied,1
Google,No Response,1
No Response,Coding Challenge,1
Coding Challenge,Denied,1
Stessa,No Response,1
No Response,Phone screen,1
Phone screen,In Person,1
In Person,Denied,1
